Project Title	Tumor Type	Administering  IC	Application ID	Project Number	Type	Activity	IC	Serial Number	Support Year	Suffix	Subproject Number 	Contact PI  Person ID	Contact PI / Project Leader	PI Trim	MemberID	Other PI or Project Leader(s)	Organization Name	ARRA Indicator	FY	FY Total Cost 	FY Total Cost  (Sub Projects)	FY Total
CSHL COURSE ON YEAST GENETICS AND GENOMICS		NHGRI	8144489	5T15HG004331-05	5	T15	HG	4331	5			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	53462		53462
2011 CSHL GENOME INFORMATICS CONFERENCE		NHGRI	8204325	1R13HG006410-01	1	R13	HG	6410	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	30990		30990
2011 CSHL CONFERENCE ON SYNAPSES: FROM MOLECULES TO CIRCUITS & BEHAVIOR		NIMH	8118673	2R13MH077383-06	2	R13	MH	77383	6			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	20000		20000
2011 COLD SPRING HARBOR CONFERENCE ON NEUROBIOLOGY OF DROSOPHILA		NINDS	8201856	1R13NS076086-01	1	R13	NS	76086	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	15000		15000
RECEPTOR PTPS; CELL CONTACT & SIGNAL TRANSDUCTION		NIGMS	8011999	5R01GM055989-14	5	R01	GM	55989	14			1898919	TONKS, NICHOLAS K	TONKS, NICHOLAS K	29	Not Applicable	Cold Spring Harbor	 	2011	404432		404432
ELECTROPHYSIOLOGICAL ANALYSIS OF OLFACTORY REPRESENTATIONS IN DROSOPHILA		NIDCD	8109238	5R01DC010403-02	5	R01	DC	10403	2			9068491	TURNER, GLENN C	TURNER, GLENN C	57	Not Applicable	Cold Spring Harbor	 	2011	421080		421080
DOCK7 SIGNALING IN NEURONAL DEVELOPMENT		NIMH	8056593	5R01MH082808-04	5	R01	MH	82808	4			1899413	VAN AELST, LINDA 	VAN AELST, LINDA	33	Not Applicable	Cold Spring Harbor	 	2011	387585		387585
FUNCTIONAL MICROCIRCUITRY UNDERLYING SOUND PROCESSING IN THE PRIMARY AUDITORY COR		NIDCD	8097930	5R01DC005415-09	5	R01	DC	5415	9			1930333	ZADOR, ANTHONY M	ZADOR, ANTHONY M	59	Not Applicable	Cold Spring Harbor	 	2011	354339		354339
HIGH-THROUGHPUT DNA SEQUENCING METHOD FOR PROBING THE CONNECTIVITY OF NEURAL CIRC		NINDS	8150904	5R01NS073129-02	5	R01	NS	73129	2			1930333	ZADOR, ANTHONY M	ZADOR, ANTHONY M	59	Not Applicable	Cold Spring Harbor	 	2011	430650		430650
DROSOPHILA MODELS OF HUMAN COGNITIVE DISORDERS: NF1 AND NOONAN SYNDROME		NINDS	8071505	5R01NS064331-02	5	R01	NS	64331	2			1955001	ZHONG, YI 	ZHONG, YI	37	Not Applicable	Cold Spring Harbor	 	2011	341040		341040
IMMUNOLOGY PHYSICIAN SCIENTIST		NIAID	8049751	5T32AI083223-03	5	T32	AI	83223	3			8451707	BONAGURA, VINCENT ROBERT	BONAGURA, VINCENT ROBERT		Not Applicable	Feinstein Institute	 	2011	178418		930686
IMPROVING SUBSTANCE USE AND CLINICAL OUTCOMES IN HEAVY CANNABIS USERS		NIDA	8115059	5R21DA029131-02	5	R21	DA	29131	2			10560210	BRAGA, RAPHAEL J	BRAGA, RAPHAEL J		Not Applicable	Feinstein Institute	 	2011	200850		318820
NEUROCOGNITION AS AN ENDOPHENOTYPE IN BIPOLAR DISORDER		NIMH	7990397	5K23MH077807-04	5	K23	MH	77807	4			8441121	BURDICK, KATHERINE ELIZABETH	BURDICK, KATHERINE ELIZABETH		Not Applicable	Feinstein Institute	 	2011	84577		288135
4/8- PREDICTORS & MECHANISMS OF CONVERSION TO PSYCHOSIS		NIMH	8066006	5U01MH081857-04	5	U01	MH	81857	4			1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2011	723660		207500
CLINICAL ASSESSMENT STRATEGIES UNIT (RESEARCH METHODS CORE)		NIMH	8301762	5P30MH090590-02	5	P30	MH	90590	2		7409	1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2011		150507	150507
PROJECT 5 ACISR		NIMH	8301776	5P30MH090590-02	5	P30	MH	90590	2		7417	1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2011		80529	80529
3/3-IMPROVING METABOLIC PARAMETERS OF ANTIPSYCHOTIC CHILD TREATMENT (IMPACT)		NIMH	8114045	5R01MH080274-04	5	R01	MH	80274	4			8134676	CORRELL, CHRISTOPH U	CORRELL, CHRISTOPH U		Not Applicable	Feinstein Institute	 	2011	271161		271161
ADVERSE EVENTS UNIT (RESEARCH METHODS CORE)		NIMH	8301764	5P30MH090590-02	5	P30	MH	90590	2		7411	8134676	CORRELL, CHRISTOPH U	CORRELL, CHRISTOPH U		Not Applicable	Feinstein Institute	 	2011		55459	55459
PROJECT 1 ACISR		NIMH	8301767	5P30MH090590-02	5	P30	MH	90590	2		7413	8134676	CORRELL, CHRISTOPH U	CORRELL, CHRISTOPH U		Not Applicable	Feinstein Institute	 	2011		77395	77395
PROJECT 4 ACISR		NIMH	8301774	5P30MH090590-02	5	P30	MH	90590	2		7416	8134676	CORRELL, CHRISTOPH U	CORRELL, CHRISTOPH U		Not Applicable	Feinstein Institute	 	2011		47652	47652
FEINSTEIN INSTITUTE VIVARIUM: VENTILATED RACKS		NCRR	8186130	1G20RR030988-01A1	1	G20	RR	30988	1	A1		8669548	CZURA, CHRISTOPHER J	CZURA, CHRISTOPHER J		Not Applicable	Feinstein Institute	 	2011	492005		492005
REGULATION OF THE ANTI-PHOSPHOLIPID RESPONSE IN SLE		NIAID	8014983	5R01AI083901-02	5	R01	AI	83901	2			1969333	DAVIDSON, ANNE 	DAVIDSON, ANNE		Not Applicable	Feinstein Institute	 	2011	420800		420800
FUNCTIONAL SIGNIFICANCE OF AN ITGAM POLYMORPHISM IN SLE		NIAMS	8014906	5R21AR057930-02	5	R21	AR	57930	2			1969333	DAVIDSON, ANNE 	DAVIDSON, ANNE		Not Applicable	Feinstein Institute	 	2011	143424		143424
TARGETING RENAL INFLAMMATORY PATHWAYS OF SLE NEPHRITIS IN MOUSE AND MAN		NIDDK	8072584	5R01DK085241-02	5	R01	DK	85241	2			1969333	DAVIDSON, ANNE 	DAVIDSON, ANNE		Not Applicable	Feinstein Institute	 	2011	535211		535211
A MOUSE MODEL OF TAU PATHOLOGY IN AD & OTHER DEMENTIAS		NIA	8055389	5R37AG022102-09	5	R37	AG	22102	9			1894355	DAVIES, PETER P	DAVIES, PETER P		Not Applicable	Feinstein Institute	 	2011	323826		323826
HISTOLOGY CORE		NIAID	8308310	5P01AI073693-04	5	P01	AI	73693	4		9003	7360707	DEGIORGIO, LORRAINE A	DEGIORGIO, LORRAINE A		Not Applicable	Feinstein Institute	 	2011		183260	183260
THE GENETICS OF PSYCHOSIS:  TOWARDS A DIMENSIONAL APPROACH		NIMH	8302498	4R00MH086756-03	4	R00	MH	86756	3			9629983	DEROSSE, PAMELA 	DEROSSE, PAMELA		Not Applicable	Feinstein Institute	 	2011	249000		249000
TREATING ADOLSECENT AND ADULT METHAMPHETAMINE OR INHALANT ABUSE WITH S-(+)-GVG		NIDA	8085904	5K02DA022346-06	5	K02	DA	22346	6			7776522	DEWEY, STEPHEN L	DEWEY, STEPHEN L		Not Applicable	Feinstein Institute	 	2011	134136		134136
IMAGING CORE		NINDS	8332349	5P50NS071675-02	5	P50	NS	71675	2		6348	8326791	DHAWAN, VIJAY 	DHAWAN, VIJAY		Not Applicable	Feinstein Institute	 	2011		135645	135645
PREVENTING ANTI-NMDAR AB NEUROTOXICITY: RATIONAL THERAPIES FOR NPSLE		NIAID	8308307	5P01AI073693-04	5	P01	AI	73693	4		4	1862435	DIAMOND, BETTY 	DIAMOND, BETTY		Not Applicable	Feinstein Institute	 	2011		329513	329513
ADMINISTRATIVE CORE		NIAID	8308308	5P01AI073693-04	5	P01	AI	73693	4		9001	1862435	DIAMOND, BETTY 	DIAMOND, BETTY		Not Applicable	Feinstein Institute	 	2011		75578	75578
MONOCLONAL ANTIBODY CORE		NIAID	8308311	5P01AI073693-04	5	P01	AI	73693	4		9004	1862435	DIAMOND, BETTY 	DIAMOND, BETTY		Not Applicable	Feinstein Institute	 	2011		176574	176574
ANTI-NMDA RECEPTOR ANTIBODIES IN BRAIN DYSFUNCTION: LESSONS FROM LUPUS		NIAID	8122321	5P01AI073693-04	5	P01	AI	73693	4			1862435	DIAMOND, BETTY 	DIAMOND, BETTY		Not Applicable	Feinstein Institute	 	2011	2206554		2206554
ANTIBODIES TO NR2 IN SLE		NIAMS	8121616	5R01AR049126-11	5	R01	AR	49126	11			1862435	DIAMOND, BETTY 	DIAMOND, BETTY		Not Applicable	Feinstein Institute	 	2011	339101		339101
TOWARD A NEW APPROACH TO SLE THERAPY		NIAMS	8111099	5R01AR057084-02	5	R01	AR	57084	2			1862435	DIAMOND, BETTY 	DIAMOND, BETTY		Not Applicable	Feinstein Institute	 	2011	358560		358560
ANTI-MICROBIAL ANTIBODIES INDUCE NEUROPSYCHIATRIC SYNDROMES		NIMH	8125138	5R01MH081801-05	5	R01	MH	81801	5			1862435	DIAMOND, BETTY 	DIAMOND, BETTY		Not Applicable	Feinstein Institute	 	2011	352953		352953
MICROVASCULAR CHANGES IN PARKINSON'S DISEASE: RELATIONSHIP TO LEVODOPA-INDUCED DY		NINDS	8332343	5P50NS071675-02	5	P50	NS	71675	2		6341	1860599	EIDELBERG, DAVID 	EIDELBERG, DAVID		Not Applicable	Feinstein Institute	 	2011		507874	507874
METABOLIC NETWORKS AND THE COGNITIVE TREATMENT RESPONSE IN PARKINSON'S DISEASE		NINDS	8332344	5P50NS071675-02	5	P50	NS	71675	2		6342	1860599	EIDELBERG, DAVID 	EIDELBERG, DAVID		Not Applicable	Feinstein Institute	 	2011		381682	381682
ADMINISTRATIVE CORE		NINDS	8332346	5P50NS071675-02	5	P50	NS	71675	2		6344	1860599	EIDELBERG, DAVID 	EIDELBERG, DAVID		Not Applicable	Feinstein Institute	 	2011		120421	120421
FUNCTIONAL BRAIN NETWORKS: A NOVEL APPROACH TO ADDRESS CLINICAL CHALLENGES IN PD		NINDS	8144916	5P50NS071675-02	5	P50	NS	71675	2			1860599	EIDELBERG, DAVID 	EIDELBERG, DAVID		Not Applicable	Feinstein Institute	 	2011	1800274		1800274
STRUCTURE-FUNCTION RELATIONSHIPS IN DYSTONIA: A NETWORK APPROACH		NINDS	8026548	1R01NS072514-01	1	R01	NS	72514	1			1860599	EIDELBERG, DAVID 	EIDELBERG, DAVID		Not Applicable	Feinstein Institute	 	2011	599668		599668
THE LONG ISLAND PARKINSON'S DISEASE CENTER		NINDS	8033815	5U10NS044484-09	5	U10	NS	44484	9			1886109	FEIGIN, ANDREW S	FEIGIN, ANDREW S		Not Applicable	Feinstein Institute	 	2011	71787		71787
EARLY DIFFERENTIAL DIAGNOSIS OF PARKINSONISM WITH METABOLIC IMAGING AND PATTERN A		NINDS	8332345	5P50NS071675-02	5	P50	NS	71675	2		6343	1886109	FEIGIN, ANDREW S	FEIGIN, ANDREW S		Not Applicable	Feinstein Institute	 	2011		309532	309532
CLINICAL RESEARCH CORE		NINDS	8332347	5P50NS071675-02	5	P50	NS	71675	2		6346	1886109	FEIGIN, ANDREW S	FEIGIN, ANDREW S		Not Applicable	Feinstein Institute	 	2011		126842	126842
LEPTIN AND B CELL FUNCTION		NIDDK	8119058	5K08DK083818-04	5	K08	DK	83818	4			7693447	FRANCHIN, GIOVANNI 	FRANCHIN, GIOVANNI		Not Applicable	Feinstein Institute	 	2011	152225		152225
COGNITIVE AND BEHAVIORAL CORE		NINDS	8332348	5P50NS071675-02	5	P50	NS	71675	2		6347	1960771	GLUCK, MARK A	GLUCK, MARK A		Not Applicable	Feinstein Institute	 	2011		100700	100700
BDNF VAL66MET GENOTYPE AND AGE: IMPACT ON BIOMARKERS AND EXERCISE-BASED TREATMENT		NIA	8187331	1R01AG038734-01A1	1	R01	AG	38734	1	A1		8442002	GOLDBERG, TERRY 	GOLDBERG, TERRY		Not Applicable	Feinstein Institute	 	2011	270224		270224
NEUROCOGNITIVE FUNCTION AND TREATMENT RESPONSE IN FIRST EPISODE SCHIZOPHRENIA		NIMH	8258324	5P50MH080173-04	5	P50	MH	80173	4		1	8442002	GOLDBERG, TERRY 	GOLDBERG, TERRY		Not Applicable	Feinstein Institute	 	2011		515246	515246
RESEARCH METHODS CORE: COGNITIVE NEUROSCIENCE		NIMH	8258329	5P50MH080173-04	5	P50	MH	80173	4		9002	8442002	GOLDBERG, TERRY 	GOLDBERG, TERRY		Not Applicable	Feinstein Institute	 	2011		262966	262966
MAPPING AUTOIMMUNE PHENOTYPES IN MULTIPLEX FAMILIES		NIAID	8098130	5R01AI068759-05	5	R01	AI	68759	5			1868373	GREGERSEN, PETER K.	GREGERSEN, PETER K.		Not Applicable	Feinstein Institute	 	2011	766888		766888
NARAC THE GENETICS OF RHEUMATOID ARTHRITIS		NIAMS	8126448	5R01AR044422-13	5	R01	AR	44422	13			1868373	GREGERSEN, PETER K.	GREGERSEN, PETER K.		Not Applicable	Feinstein Institute	 	2011	589813		589813
SPECIAL SCIENTIFIC PROCEDURES CORE: GENOMICS		NIMH	8258328	5P50MH080173-04	5	P50	MH	80173	4		9001	1868373	GREGERSEN, PETER K.	GREGERSEN, PETER K.		Not Applicable	Feinstein Institute	 	2011		275147	275147
ADENOISEN-PKA SIGNALING AXIS IN TREG DEVELOPMENT AND HOMEOSTASIS		NIAID	8309525	1R56AI089837-01A1	1	R56	AI	89837	1	A1		6568598	GU, HUA 	GU, HUA		Not Applicable	Feinstein Institute	 	2011	415000		415000
IDENTIFICATION OF GENES REGULATING ARTHRITIS IN RATS.		NIAMS	8075046	5R01AR046213-11	5	R01	AR	46213	11			3129669	GULKO, PERCIO S	GULKO, PERCIO S		Not Applicable	Feinstein Institute	 	2011	332413		332413
IMAGING NEUROTOXICITY: THE EFFECT OF ANTI-NMDAR AB ON HIPPOCAMPUS AND AMYGDALA IN		NIAID	8308306	5P01AI073693-04	5	P01	AI	73693	4		3	8619021	HIRSCH, JOY 	HIRSCH, JOY		Not Applicable	Feinstein Institute	 	2011		443160	443160
MECHANISMS OF NEUROTOXICITY OF LUPUS ANTI-NMDAR ANTIBODIES: ELECTROPHYSIOLOGY TO		NIAID	8308304	5P01AI073693-04	5	P01	AI	73693	4		1	7931971	HUERTA, PATRICIO T	HUERTA, PATRICIO T		Not Applicable	Feinstein Institute	 	2011		413529	413529
BEHAVIORAL CORE		NIAID	8308309	5P01AI073693-04	5	P01	AI	73693	4		9002	7931971	HUERTA, PATRICIO T	HUERTA, PATRICIO T		Not Applicable	Feinstein Institute	 	2011		159975	159975
PROJECT 3 ACISR		NIMH	8301772	5P30MH090590-02	5	P30	MH	90590	2		7415	1893508	KAFANTARIS, VIVIAN 	KAFANTARIS, VIVIAN		Not Applicable	Feinstein Institute	 	2011		107991	107991
RECOVERY AFTER INITIAL SCHIZOPHRENIA EPISODE (RAISE)		NIMH	8326023	271200900019C-12-0-1		N01						11090744	KANE, JOHN M	KANE, JOHN M		Not Applicable	Feinstein Institute	 	2011	8613341		8613341
OPERATIONS AND CLINICAL ASSESSMENT CORE		NIMH	8258330	5P50MH080173-04	5	P50	MH	80173	4		9003	1878536	KANE, JOHN M	KANE, JOHN M		Not Applicable	Feinstein Institute	 	2011		245074	245074
SCIENTIFIC DIRECTION ADMINSTRATIVE UNIT (OPERATIONS CORE)		NIMH	8301778	5P30MH090590-02	5	P30	MH	90590	2		8123	1878536	KANE, JOHN M	KANE, JOHN M		Not Applicable	Feinstein Institute	 	2011		266315	266315
KNOWLEDGE TRANSFER UNIT(OPERATIONS CORE)		NIMH	8301781	5P30MH090590-02	5	P30	MH	90590	2		8126	1878536	KANE, JOHN M	KANE, JOHN M		Not Applicable	Feinstein Institute	 	2011		60535	60535
EARLY PHASE PSYCHOSIS: INFORMING TREATMENT DECISIONS		NIMH	8117213	5P30MH090590-02	5	P30	MH	90590	2			1878536	KANE, JOHN M	KANE, JOHN M		Not Applicable	Feinstein Institute	 	2011	1568522		1568522
FUNCTION OF BLIMP1/PRDM-1 IN DENDRITIC CELLS IN THE GENERATION OF AUTOANTIBODIES		NIAMS	8105197	5K01AR059378-02	5	K01	AR	59378	2			9909849	KIM, SUN JUNG 	KIM, SUN JUNG		Not Applicable	Feinstein Institute	 	2011	127711		127711
AUTOANTIBODIES AND B CELL CHEMOTAXIS IN SJOGREN'S SYNDROME		NIDCR	8064721	5K08DE020882-02	5	K08	DE	20882	2			9699119	KRAMER, JILL MARIE	KRAMER, JILL MARIE		Not Applicable	Feinstein Institute	 	2011	133110		133110
BIOSTATISTICS & DATA MANAGEMENT UNIT (OPERATIONS CORE)		NIMH	8301779	5P30MH090590-02	5	P30	MH	90590	2		8124	1892381	LESSER, MARTIN L.	LESSER, MARTIN L.	69	Not Applicable	Feinstein Institute	 	2011		231051	231051
STATISTICS AND DATA MANAGEMENT CORE		NINDS	8332350	5P50NS071675-02	5	P50	NS	71675	2		6349	1892381	LESSER, MARTIN L.	LESSER, MARTIN L.	69	Not Applicable	Feinstein Institute	 	2011		117578	117578
GENETIC VARIATION AND FUNCTIONAL DISABILITY IN SCHIZOPHRENIA		NIMH	8047996	5R01MH079800-05	5	R01	MH	79800	5			3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2011	369765		369765
PHARMACOGENOMICS OF TREATMENT RESPONSE IN FIRST EPISODE SCHIZOPHRENIA		NIMH	8258327	5P50MH080173-04	5	P50	MH	80173	4		4	3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2011		239577	239577
DISSECTING HETEROGENEITY OF TREATMENT RESPONSE OF FIRST EPISODE SCHIZOPHRENIA		NIMH	8065457	5P50MH080173-04	5	P50	MH	80173	4			3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2011	1895229		1895229
BIOMARKERS UNIT (RESEARCH METHODS CORE)		NIMH	8301765	5P30MH090590-02	5	P30	MH	90590	2		7412	3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2011		69697	69697
THE NINTH ANNUAL PHARMACOGENETICS IN PSYCHIATRY MEETING		NIMH	8055024	5R13MH090652-02	5	R13	MH	90652	2			3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2011	1		1
EVIDENCE BASED DECISION MAKING: INTEGRATING CLINICAL PREDICTION RULES INTO ELECTR		AHRQ	8080374	5R18HS018491-04	5	R18	HS	18491	4			6844006	MCGINN, THOMAS G	MCGINN, THOMAS G		Not Applicable	Feinstein Institute	 	2011			0
4/8-PROLONGING REMISSION IN DEPRESSED ELDERLY (PRIDE)		NIMH	8054858	5U01MH086123-03	5	U01	MH	86123	3			3151495	PETRIDES, GEORGIOS 	PETRIDES, GEORGIOS		Not Applicable	Feinstein Institute	 	2011	240701		240701
TRIALS OPERATION UNIT (OPERATIONS CORE)		NIMH	8301780	5P30MH090590-02	5	P30	MH	90590	2		8125	3151495	PETRIDES, GEORGIOS 	PETRIDES, GEORGIOS		Not Applicable	Feinstein Institute	 	2011		186214	186214
PROTEASOME; PROTEIN OXIDATION; AND CARDIOMYOCYTE FUNCTION.		NHLBI	8092873	5R01HL068936-08	5	R01	HL	68936	8			1903015	POWELL, SAUL R 	POWELL, SAUL R		WANG, XUEJUN 	Feinstein Institute	 	2011	410661		410661
ADHERENCE UNIT (RESEARCH METHODS CORE)		NIMH	8301763	5P30MH090590-02	5	P30	MH	90590	2		7410	1894605	ROBINSON, DELBERT G	ROBINSON, DELBERT G		Not Applicable	Feinstein Institute	 	2011		57802	57802
ABERRANT SIGNALING IN B-1 CELLS		NIAID	8099789	5R01AI029690-20	5	R01	AI	29690	20			1871601	ROTHSTEIN, THOMAS L	ROTHSTEIN, THOMAS L		Not Applicable	Feinstein Institute	 	2011	406742		406742
AN ALTERNATE PATHWAY TO AUTOIMMUNITY		NIAID	8013888	5R01AI075141-04	5	R01	AI	75141	4			1871601	ROTHSTEIN, THOMAS L	ROTHSTEIN, THOMAS L		Not Applicable	Feinstein Institute	 	2011	332789		332789
FAIM IN IMMUNITY AND AUTOIMMUNITY		NIAID	8081080	5R01AI083509-02	5	R01	AI	83509	2			1871601	ROTHSTEIN, THOMAS L	ROTHSTEIN, THOMAS L		Not Applicable	Feinstein Institute	 	2011	410850		410850
IMAGING THE CAUSES AND CONSEQUENCES OF ADOLESCENT INHALANT ABUSE		NIDA	8050180	5R01DA025729-02	5	R01	DA	25729	2			6840635	SCHIFFER, WYNNE K	SCHIFFER, WYNNE K		Not Applicable	Feinstein Institute	 	2011	645234		645234
TRAINING UNIT (OPERATIONS CORE)		NIMH	8301761	5P30MH090590-02	5	P30	MH	90590	2		7408	6996976	SEVY, SERGE 	SEVY, SERGE		Not Applicable	Feinstein Institute	 	2011		80895	80895
PROJECT 2 ACISR		NIMH	8301769	5P30MH090590-02	5	P30	MH	90590	2		7414	6996976	SEVY, SERGE 	SEVY, SERGE		Not Applicable	Feinstein Institute	 	2011		96480	96480
P66SHCA IN HIV ASSOCIATED NEPHROPATHY		NIDDK	8044179	5R01DK083931-02	5	R01	DK	83931	2			1863819	SINGHAL, PRAVIN C	SINGHAL, PRAVIN C		Not Applicable	Feinstein Institute	 	2011	598022		598022
RENIN ANGIOENSIN ALDOSTERONE SYSTEM IN DRUB ABUSE AND HIV-ASSOCIATED NEPHROPATHY		NIDDK	8118788	5R01DK084910-02	5	R01	DK	84910	2			1863819	SINGHAL, PRAVIN C	SINGHAL, PRAVIN C		Not Applicable	Feinstein Institute	 	2011	331071		331071
NEUROBEHAVIORAL CONSEQUENCES OF ADOLESCENT ALCOHOL: ROLE OF GONADAL HORMONES		NIAAA	8079073	5R01AA017359-05	5	R01	AA	17359	5			1864483	SIRCAR, RATNA 	SIRCAR, RATNA		Not Applicable	Feinstein Institute	 	2011	229733		229733
STRIATAL D2/D3 DOPAMINE RECEPTOR AVAILABILITY IN FIRST EPISODE SCHIZOPHRENIA		NIMH	8258326	5P50MH080173-04	5	P50	MH	80173	4		3	1960081	SMITH, GWENN S	SMITH, GWENN S		Not Applicable	Feinstein Institute	 	2011		169264	169264
MR IMAGING PREDICTORS OF RESPONSE & OUTCOME IN FIRST EPISODE SCHIZOPHRENIA		NIMH	8258325	5P50MH080173-04	5	P50	MH	80173	4		2	1988051	SZESZKO, PHILIP R	SZESZKO, PHILIP R		Not Applicable	Feinstein Institute	 	2011		187955	187955
HMG IN POST OPERATIVE AND TRAUMATIC STRESS		NIGMS	8105801	2R01GM062508-09A2	2	R01	GM	62508	9	A2		1868889	TRACEY, KEVIN J	TRACEY, KEVIN J		Not Applicable	Feinstein Institute	 	2011	315400		315400
CENTRAL CHOLINERGIC REGULATION OF INFLAMMATION		NIGMS	8042116	1R01GM089807-01A1	1	R01	GM	89807	1	A1		1868889	TRACEY, KEVIN J	TRACEY, KEVIN J		Not Applicable	Feinstein Institute	 	2011	282200		282200
A PHASE I CLINICAL TRIAL OF ANAKINRA FOR STEROID-RESISTANT AIED		NIDCD	8179855	1R21DC011827-01	1	R21	DC	11827	1			2091231	VAMBUTAS, ANDREA 	VAMBUTAS, ANDREA		Not Applicable	Feinstein Institute	 	2011	249000		249000
DEVELOPMENTAL NEUROTOXICITY: MATERNAL ANTI-NMDAR ANTIBODIES AND FETAL DEVELOPMENT		NIAID	8308305	5P01AI073693-04	5	P01	AI	73693	4		2	1990052	VOLPE, BRUCE THOMAS	VOLPE, BRUCE THOMAS		Not Applicable	Feinstein Institute	 	2011		424965	424965
MECHANISMS OF NOVEL HERBAL THERAPIES FOR SEPSIS.		NCCAM	8075061	5R01AT005076-02	5	R01	AT	5076	2			6626369	WANG, HAICHAO 	WANG, HAICHAO		Not Applicable	Feinstein Institute	 	2011	328680		328680
RADIATION COMBINED INJURY: MECHANISMS AND THERAPEUTIC APPROACHES		NIAID	8097389	5R33AI080536-04	5	R33	AI	80536	4			1865987	WANG, PING 	WANG, PING		Not Applicable	Feinstein Institute	 	2011	398898		398898
IMPROVEMENT OF ORGAN FUNCTION AFTER SEVERE HYPOVOLEMIA		NHLBI	8187836	2R01HL076179-05A1	2	R01	HL	76179	5	A1		1865987	WANG, PING 	WANG, PING		Not Applicable	Feinstein Institute	 	2011	415000		415000
GHRELIN AND TRAUMATIC BRAIN INJURY		NINDS	8191318	1R21NS072608-01A1	1	R21	NS	72608	1	A1		9077423	WU, RONGQIAN 	WU, RONGQIAN		Not Applicable	Feinstein Institute	 	2011	207500		207500
MECHANISM OF ACTION AND THERAPEUTIC POTENTIAL OF HMGB1 A BOX IN SEPSIS		NIGMS	8159694	1R01GM098446-01	1	R01	GM	98446	1			7728784	YANG, HUAN 	YANG, HUAN		Not Applicable	Feinstein Institute	 	2011	282200		282200
COMPLEX DECISIONS AND THE BRAIN: AN EXPERIMENTAL AND THEORETICAL APPROACH		NEI	8324694	5R00EY019072-05	5	R00	EY	19072	5			6357328	CHURCHLAND, ANNE KATHRYN	CHURCHLAND, ANNE KATHRYN	39	Not Applicable	Cold Spring Harbor	 	2012	247403		247403
GENOME-WIDE REGULATORY NETWORK GOVERNING NEURONAL MRNA TRANSLATION.		NINDS	8318219	5R01NS067690-04	5	R01	NS	67690	4			1896422	DUBNAU, JOSHUA T	DUBNAU, JOSHUA T	40	Not Applicable	Cold Spring Harbor	 	2012	466125		466125
STRUCTURE AND FUNCTION OF NMDA RECEPTORS		NIMH	8225369	5R01MH085926-03	5	R01	MH	85926	3			9343008	FURUKAWA, HIROYASU 	FURUKAWA, HIROYASU	41	Not Applicable	Cold Spring Harbor	 	2012	457875		457875
CSHL CELL AND DEVELOPMENTAL BIOLOGY OF XENOPUS		NICHD	8245563	5T15HD030269-20	5	T15	HD	30269	20			7852017	GRODZICKER, TERRI I.	GRODZICKER, TERRI I.		Not Applicable	Cold Spring Harbor	 	2012	63345		63345
GENETIC ANALYSIS OF CHANDELIER CELLS DURING CORTICAL CIRCUIT ASSEMBLY		NIMH	8289479	5R01MH094705-02	5	R01	MH	94705	2			7101385	HUANG, Z JOSH	HUANG, Z JOSH	43	Not Applicable	Cold Spring Harbor	 	2012	560565		560565
FUNCTIONS OF DISTINCT INTERNEURON SUBTYPES IN CORTICAL DYNAMICS AND BEHAVIOR		NINDS	8291960	5R01NS075531-02	5	R01	NS	75531	2			9292719	KEPECS, ADAM 	KEPECS, ADAM	46	Not Applicable	Cold Spring Harbor	 	2012	411250		411250
CRCNS:  COMPUTATIONAL MODEL FOR NEURAL STEM CELL DIVISIONS IN THE ADULT BRAIN		NIMH	8259207	5R01MH092928-03	5	R01	MH	92928	3			8569429	KOULAKOV, ALEXEI  	KOULAKOV, ALEXEI	47	ENIKOLOPOV, GRIGORI N	Cold Spring Harbor	 	2012	356621		356621
TARGETED INHIBITION OF NMD TO ENHANCE THE EFFICACY OF READTHROUGH DRUGS		NINDS	8429753	1R21NS081448-01	1	R21	NS	81448	1			1859429	KRAINER, ADRIAN R	KRAINER, ADRIAN R	14	Not Applicable	Cold Spring Harbor	 	2012	235416		235416
